,y
50161,0
16020,0
42793,0
77986,0
60669,1
80873,0
79228,1
83980,1
111850,0
72531,0
30441,0
92307,0
57633,0
16676,0
20647,1
42105,1
79075,0
65225,0
59859,0
49315,0
31451,1
83580,0
39837,0
42744,0
6991,0
13722,0
24925,1
74170,0
55072,0
73410,0
113816,0
44566,0
839,1
35813,1
60025,1
49931,0
40900,1
72413,0
61857,0
28849,0
52576,0
18676,0
86489,0
122459,0
79583,0
93996,0
110578,0
102721,0
89238,0
31323,1
111293,0
45700,0
7625,0
17378,1
86947,0
88320,0
86745,1
95557,0
100730,0
61690,0
35039,1
76274,0
2953,0
44101,0
26264,0
17299,0
35858,0
55000,1
62011,1
64175,0
105274,0
63917,0
88296,0
24252,0
111184,0
54666,0
99941,0
118143,0
33277,1
81758,0
85600,0
93590,1
43056,0
72650,0
36422,1
8138,0
35512,0
62434,1
8831,0
96067,0
104915,0
58457,0
48962,0
26162,0
83966,0
108026,1
38143,0
29735,0
77160,0
50294,0
46090,0
86481,0
86780,0
22232,0
109370,0
8655,0
23704,1
106629,1
56256,0
98877,0
32149,0
73710,0
50561,1
22879,1
8520,0
64900,0
82550,0
61526,0
75265,0
84787,0
96477,1
94213,1
82149,0
32312,0
79873,0
57364,0
27985,0
17650,1
69672,0
63515,0
58132,0
50877,0
44423,0
72569,0
31296,0
70644,0
100711,0
84979,0
35459,0
47120,0
80606,0
36536,0
63253,0
35225,0
96793,1
79252,0
58893,0
58585,0
80624,0
85738,0
65861,0
7383,0
76670,0
116538,1
78932,0
67684,0
31631,0
17283,0
73488,0
35534,0
32125,0
91420,0
49298,1
28578,0
9572,0
16650,1
2188,0
46480,0
8082,0
21428,1
86088,0
71435,0
68071,0
62322,0
105253,1
39775,0
19881,0
63034,0
33142,1
50191,0
51972,0
55341,0
93388,0
49468,0
85135,0
33037,0
38939,0
42718,0
28442,0
9331,0
51407,0
82209,0
80941,0
90204,0
13165,0
113911,0
96424,0
14576,0
23193,0
94406,0
54974,0
61745,0
71959,0
49349,0
61084,0
81183,1
1819,0
59026,1
8605,0
16864,0
26546,1
26744,0
115816,1
5046,0
71559,1
27800,0
29921,0
55503,0
13999,0
85858,0
86146,0
93258,1
74800,1
5197,0
727,0
85592,1
28451,0
103774,0
72222,0
64766,0
86385,0
65996,0
113472,0
104279,0
77843,0
106213,0
11644,0
